Customer_ID,Recency,Frequency,Monetary,RFM_Category
22096,"2020-11-08 00:00:00",9,395.5399999999999,"Low Value Customers"
22149,"2020-10-16 00:00:00",7,237.58999999999997,"Low Value Customers"
22021,"2020-10-16 00:00:00",5,33.07,"Low Value Customers"
22062,"2020-12-04 00:00:00",5,44.47,"Low Value Customers"
22140,"2020-12-14 00:00:00",6,195.21,"Low Value Customers"
21974,"2020-12-24 00:00:00",16,182.22999999999996,"Low Value Customers"
22171,"2020-12-09 00:00:00",7,29.68,"Low Value Customers"
22204,"2020-11-14 00:00:00",5,132.81,"Low Value Customers"
22179,"2020-12-29 00:00:00",6,79.76,"Low Value Customers"
22118,"2020-12-08 00:00:00",5,51.32999999999999,"Low Value Customers"
22103,"2020-12-21 00:00:00",6,177.76000000000002,"Low Value Customers"
22005,"2020-12-15 00:00:00",5,286.09,"Low Value Customers"
22190,"2020-12-27 00:00:00",6,87.6,"Low Value Customers"
22213,"2020-12-15 00:00:00",11,544.9900000000001,"Low Value Customers"
22196,"2020-11-19 00:00:00",6,57.32,"Low Value Customers"
22052,"2020-12-18 00:00:00",5,93.57000000000001,"Low Value Customers"
22147,"2020-11-22 00:00:00",6,42.21,"Low Value Customers"
22136,"2020-12-20 00:00:00",7,261.40000000000003,"Low Value Customers"
22109,"2020-11-19 00:00:00",5,92.2,"Low Value Customers"
22124,"2020-12-15 00:00:00",7,237.22,"Low Value Customers"
22076,"2020-12-29 00:00:00",16,224.2,"Low Value Customers"
22231,"2020-12-30 00:00:00",5,153.89999999999998,"Low Value Customers"
21991,"2020-11-26 00:00:00",7,62.65999999999999,"Low Value Customers"
22016,"2020-10-29 00:00:00",5,145.54,"Low Value Customers"
22138,"2020-12-30 00:00:00",8,465.9800000000001,"Low Value Customers"
22018,"2020-11-16 00:00:00",5,83.51,"Low Value Customers"
22313,"2020-12-22 00:00:00",5,167.56,"Low Value Customers"
22347,"2020-12-28 00:00:00",5,56.709999999999994,"Low Value Customers"
22410,"2020-12-30 00:00:00",7,189.75,"Low Value Customers"
20938,"2020-09-21 00:00:00",6,106.15,"Low Value Customers"
20667,"2020-10-26 00:00:00",6,69.95,"Low Value Customers"
20729,"2020-12-26 00:00:00",6,38.78,"Low Value Customers"
21133,"2020-12-14 00:00:00",12,257.18000000000006,"Low Value Customers"
21204,"2020-12-14 00:00:00",6,60.44,"Low Value Customers"
20732,"2020-11-02 00:00:00",5,246.54,"Low Value Customers"
20602,"2020-12-28 00:00:00",9,212.22,"Low Value Customers"
20945,"2020-12-20 00:00:00",7,45.36,"Low Value Customers"
21025,"2020-12-27 00:00:00",8,160.22,"Low Value Customers"
20735,"2020-11-28 00:00:00",6,69.45,"Low Value Customers"
20736,"2020-09-18 00:00:00",5,91.82000000000002,"Low Value Customers"
20607,"2020-12-19 00:00:00",6,1017.81,"Low Value Customers"
21135,"2020-10-26 00:00:00",5,31.090000000000003,"Low Value Customers"
20988,"2020-11-16 00:00:00",5,81.35,"Low Value Customers"
21088,"2020-11-03 00:00:00",5,123.57,"Low Value Customers"
21260,"2020-09-08 00:00:00",5,75.47000000000001,"Low Value Customers"
20680,"2020-11-04 00:00:00",5,133.61,"Low Value Customers"
21115,"2020-11-02 00:00:00",6,324.75000000000006,"Low Value Customers"
21091,"2020-11-10 00:00:00",7,216.52999999999997,"Low Value Customers"
20615,"2020-12-04 00:00:00",10,552.6800000000002,"Low Value Customers"
21269,"2020-11-24 00:00:00",7,129.09,"Low Value Customers"
21032,"2020-12-19 00:00:00",6,79.2,"Low Value Customers"
21065,"2020-12-27 00:00:00",9,1159.74,"Low Value Customers"
21168,"2020-08-19 00:00:00",6,290.01,"Low Value Customers"
21118,"2020-11-07 00:00:00",5,389.32,"Low Value Customers"
20859,"2020-09-19 00:00:00",5,46.5,"Low Value Customers"
20998,"2020-10-21 00:00:00",7,174.77999999999994,"Low Value Customers"
21239,"2020-11-25 00:00:00",16,884.4000000000002,"Low Value Customers"
21233,"2020-07-27 00:00:00",5,123.70000000000002,"Low Value Customers"
21226,"2020-12-06 00:00:00",6,87.97,"Low Value Customers"
21002,"2020-12-27 00:00:00",14,162.48,"Low Value Customers"
21142,"2020-11-29 00:00:00",6,177.10000000000002,"Low Value Customers"
21004,"2020-12-22 00:00:00",22,735.2000000000004,"Low Value Customers"
21072,"2020-12-20 00:00:00",8,337.54999999999995,"Low Value Customers"
21245,"2020-12-30 00:00:00",12,206.18,"Low Value Customers"
20919,"2020-12-30 00:00:00",5,88.56,"Low Value Customers"
21042,"2020-12-24 00:00:00",9,200.45999999999998,"Low Value Customers"
21100,"2020-12-05 00:00:00",7,52.68000000000001,"Low Value Customers"
20922,"2020-12-07 00:00:00",5,144.70999999999998,"Low Value Customers"
21199,"2020-10-13 00:00:00",6,592.65,"Low Value Customers"
20636,"2020-12-05 00:00:00",6,92.69999999999999,"Low Value Customers"
20924,"2020-10-22 00:00:00",6,243.09999999999997,"Low Value Customers"
20875,"2020-12-29 00:00:00",5,167.9,"Low Value Customers"
21125,"2020-12-09 00:00:00",7,34.900000000000006,"Low Value Customers"
21046,"2020-11-23 00:00:00",6,160.79,"Low Value Customers"
20641,"2020-11-23 00:00:00",6,86.3,"Low Value Customers"
